Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
receptor guanylyl cyclase signaling pathway (GO:0007168)	4/10	1.8777082444476333E-10	9.581945171416272E-7	0	0	380.952380952381	8531.732920235187	NPPB;NPR1;NPR2;NPPA
cGMP biosynthetic process (GO:0006182)	4/24	9.411833809505834E-9	2.4014293964954136E-5	0	0	158.73015873015873	2933.5393688152003	NPPB;NPR1;NPR2;NPPA
cGMP metabolic process (GO:0046068)	4/28	1.808635201868416E-8	3.076488478378176E-5	0	0	136.05442176870747	2425.5929544512555	NPPB;NPR1;NPR2;NPPA
cyclic purine nucleotide metabolic process (GO:0052652)	4/30	2.4175075405460356E-8	3.084135244851605E-5	0	0	126.98412698412699	2227.040466852259	NPPB;NPR1;NPR2;NPPA
positive regulation of urine volume (GO:0035810)	3/7	3.4818639996147284E-8	3.5535903980067916E-5	0	0	408.16326530612247	7009.433861833649	NPPB;NPR1;NPR3
regulation of urine volume (GO:0035809)	3/10	1.1913889228611543E-7	1.0132762788934117E-4	0	0	285.7142857142857	4555.135960677371	NPPB;NPR1;NPR3
positive regulation of secretion (GO:0051047)	3/16	5.537455900812481E-7	4.0368053516922985E-4	0	0	178.57142857142858	2572.6000855990487	NPPB;NPR1;ALOX12B
purine ribonucleotide biosynthetic process (GO:0009152)	4/75	1.039906627020426E-6	6.633304397106542E-4	0	0	50.7936507936508	699.75261615506	NPPB;NPR1;NPR2;NPPA
enzyme linked receptor protein signaling pathway (GO:0007167)	4/120	6.816152282778247E-6	0.0038647583443352663	0	0	31.746031746031747	377.6576325946011	NPPB;NPR1;NPR2;NPPA
regulation of renal sodium excretion (GO:0035813)	2/6	1.5710003346559643E-5	0.008016814707749386	0	0	317.46031746031747	3511.496156405011	NPPB;NPR1
regulation of tube diameter (GO:0035296)	2/7	2.198015227094698E-5	0.010196792458058403	0	0	272.10884353741494	2918.4682126008706	NPPB;NPR1
long-chain fatty acid biosynthetic process (GO:0042759)	2/9	3.763275427209216E-5	0.01600332875420719	0	0	211.64021164021165	2156.1133888929485	ALOX12B;ALOX15B
regulation of cardiac conduction (GO:1903779)	3/67	4.576888250595565E-5	0.017966046725222437	0	0	42.643923240938165	426.0940775702646	NPR1;NPR2;NPPA
regulation of blood vessel size (GO:0050880)	2/12	6.886279771921025E-5	0.025100489768652135	0	0	158.73015873015873	1521.1737256806632	NPPB;NPR1
secretion (GO:0046903)	2/13	8.133190135805304E-5	0.027669112842009642	0	0	146.52014652014654	1379.776150585732	NPPB;NPR1
unsaturated fatty acid biosynthetic process (GO:0006636)	2/15	1.0934695002572602E-4	0.03487484287382999	0	0	126.98412698412699	1158.2202797568052	ALOX12B;ALOX15B
body fluid secretion (GO:0007589)	2/15	1.0934695002572602E-4	0.03282338152831058	0	0	126.98412698412699	1158.2202797568052	NPPB;NPR1
lipoxygenase pathway (GO:0019372)	2/15	1.0934695002572602E-4	0.030999860332293325	0	0	126.98412698412699	1158.2202797568052	ALOX12B;ALOX15B
regulation of heart contraction (GO:0008016)	3/95	1.2976810990987558E-4	0.03485298236158395	0	0	30.075187969924816	269.16575850360056	NPR1;NPR2;NPPA
cyclic nucleotide biosynthetic process (GO:0009190)	2/19	1.7762956108720302E-4	0.04532218251139985	0	0	100.25062656641605	865.7453928515271	NPR1;NPR2
negative regulation of growth (GO:0045926)	3/120	2.58891765829962E-4	0.06291069909668076	0	0	23.809523809523814	196.64524943225172	NPPB;NPR1;ALOX15B
cyclic nucleotide metabolic process (GO:0009187)	2/25	3.1045069158490754E-4	0.0720104490526265	0	0	76.19047619047619	615.4274645691835	NPR1;NPR2
nucleotide biosynthetic process (GO:0009165)	2/26	3.3610896412624667E-4	0.07457234973635812	0	0	73.26007326007327	585.9395716175471	NPR1;NPR2
regulation of blood vessel diameter (GO:0097746)	2/27	3.627681976372873E-4	0.07713358802262822	0	0	70.54673721340389	558.853368724981	NPPB;NPR1
unsaturated fatty acid metabolic process (GO:0033559)	2/44	9.672635533368654E-4	0.19743783650712096	0	0	43.29004329004329	300.477902694553	ALOX12B;ALOX15B
amide biosynthetic process (GO:0043604)	2/44	9.672635533368654E-4	0.1898440735645394	0	0	43.29004329004329	300.477902694553	PM20D1;ALOX12B
icosanoid metabolic process (GO:0006690)	2/46	0.0010569268597320413	0.19975917648935582	0	0	41.40786749482402	283.742847643022	ALOX12B;ALOX15B
positive regulation of multicellular organismal process (GO:0051240)	3/202	0.0011804919453861711	0.2151446570466297	0	0	14.144271570014144	95.35818987998277	NPPB;NPR1;ALOX12B
arachidonic acid metabolic process (GO:0019369)	2/51	0.0012979027758576402	0.22838613328281163	0	0	37.34827264239029	248.254176154729	ALOX12B;ALOX15B
long-chain fatty acid metabolic process (GO:0001676)	2/55	0.001507858208877355	0.2564866813300381	0	0	34.63203463203463	225.00658146356668	ALOX12B;ALOX15B
negative regulation of blood vessel morphogenesis (GO:2000181)	2/65	0.002098713943165834	0.3454753952250081	0	0	29.304029304029307	180.70126094849564	NPPB;NPR1
negative regulation of angiogenesis (GO:0016525)	2/69	0.002361133532127177	0.3765270129514058	0	0	27.605244996549345	166.9734565916707	NPPB;NPR1
positive regulation of homeostatic process (GO:0032846)	2/83	0.003394806543042501	0.5249605390650267	0	0	22.948938611589217	130.4763855995089	NPPB;NPR1
fatty acid metabolic process (GO:0006631)	2/106	0.005471612052932313	0.8212245972386352	0	0	17.969451931716083	93.58817606351532	ALOX12B;ALOX15B
cellular response to granulocyte macrophage colony-stimulating factor stimulus (GO:0097011)	1/6	0.006284191332539439	0.9162350962842502	0	0	158.73015873015873	804.7171605525015	NPR2
response to granulocyte macrophage colony-stimulating factor (GO:0097012)	1/6	0.006284191332539439	0.8907841213874654	0	0	158.73015873015873	804.7171605525015	NPR2
positive regulation of cardiac muscle contraction (GO:0060452)	1/6	0.006284191332539439	0.8667088748634799	0	0	158.73015873015873	804.7171605525015	NPPA
cellular nitrogen compound catabolic process (GO:0044270)	1/6	0.006284191332539439	0.8439007465775988	0	0	158.73015873015873	804.7171605525015	PM20D1
negative regulation of cell growth (GO:0030308)	2/115	0.0064085253462361855	0.8385308933805964	0	0	16.563146997929607	83.64598078187454	NPPB;NPR1
regulation of atrial cardiac muscle cell membrane repolarization (GO:0060372)	1/7	0.0073278982772855125	0.9348566227246993	0	0	136.05442176870747	668.852589534891	NPPA
positive regulation of striated muscle contraction (GO:0045989)	1/7	0.0073278982772855125	0.9120552416826334	0	0	136.05442176870747	668.852589534891	NPPA
regulation of high voltage-gated calcium channel activity (GO:1901841)	1/7	0.0073278982772855125	0.8903396406901898	0	0	136.05442176870747	668.852589534891	NPPA
regulation of vascular associated smooth muscle cell migration (GO:1904752)	1/8	0.008370561681605555	0.9933715409589104	0	0	119.04761904761905	569.4088440724207	PRKG1
positive regulation of chemokine secretion (GO:0090197)	1/8	0.008370561681605555	0.9707949150280261	0	0	119.04761904761905	569.4088440724207	ALOX15B
regulation of chemokine secretion (GO:0090196)	1/8	0.008370561681605555	0.9492216946940699	0	0	119.04761904761905	569.4088440724207	ALOX15B
regulation of calcium ion transmembrane transport via high voltage-gated calcium channel (GO:1902514)	1/8	0.008370561681605555	0.9285864404615901	0	0	119.04761904761905	569.4088440724207	NPPA
negative regulation of platelet aggregation (GO:0090331)	1/8	0.008370561681605555	0.9088292821538968	0	0	119.04761904761905	569.4088440724207	PRKG1
regulation of cilium movement (GO:0003352)	1/8	0.008370561681605555	0.8898953387756906	0	0	119.04761904761905	569.4088440724207	C21ORF59
T cell mediated immunity (GO:0002456)	1/9	0.009412182450531985	0.9802115723482596	0	0	105.82010582010582	493.7302035365613	AIRE
positive regulation of voltage-gated potassium channel activity (GO:1903818)	1/9	0.009412182450531985	0.9606073409012944	0	0	105.82010582010582	493.7302035365613	NPPA
response to muscle stretch (GO:0035994)	1/9	0.009412182450531985	0.9417719028444063	0	0	105.82010582010582	493.7302035365613	NPPA
regulation of microtubule-based movement (GO:0060632)	1/9	0.009412182450531985	0.9236609047127831	0	0	105.82010582010582	493.7302035365613	C21ORF59
lipoprotein biosynthetic process (GO:0042158)	1/9	0.009412182450531985	0.9062333404729193	0	0	105.82010582010582	493.7302035365613	ALOX12B
negative regulation of homotypic cell-cell adhesion (GO:0034111)	1/10	0.010452761511867668	0.9877859628714946	0	0	95.23809523809526	434.37038818788994	PRKG1
cell part morphogenesis (GO:0032990)	1/11	0.011492299803033998	1.0	0	0	86.58008658008659	386.67342426217994	C21ORF59
negative regulation of vascular smooth muscle cell proliferation (GO:1904706)	1/12	0.012530798277531565	1.0	0	0	79.36507936507937	347.584587524072	PRKG1
thymus development (GO:0048538)	1/14	0.014604679593987663	1.0	0	0	68.02721088435374	287.51110758417076	AIRE
