Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Vascular smooth muscle contraction	5/132	2.1692146911482947E-7	6.681181248736747E-5	0	0	36.07503607503608	553.5256292346772	NPPB;NPR1;NPR2;NPPA;PRKG1
cGMP-PKG signaling pathway	5/166	6.776049759351618E-7	1.0435116629401491E-4	0	0	28.68617326448652	407.47852410113865	NPPB;NPR1;NPR2;NPPA;PRKG1
Regulation of lipolysis in adipocytes	3/55	2.5268906642596678E-5	0.002594274415306592	0	0	51.94805194805195	549.9187482863696	NPR1;NPPA;PRKG1
Thermogenesis	4/231	8.891906024596415E-5	0.006846767638939239	0	0	16.491445062873634	153.8286380120889	NPPB;NPR1;NPPA;PRKG1
Oxytocin signaling pathway	3/153	5.276563829411959E-4	0.03250363318917767	0	0	18.674136321195146	140.9349257889406	NPR1;NPR2;NPPA
Arachidonic acid metabolism	2/63	0.0019730627789315046	0.10128388931848391	0	0	30.23431594860166	188.30440615042528	ALOX12B;ALOX15B
Renin secretion	2/69	0.002361133532127177	0.1038898754135958	0	0	27.605244996549345	166.9734565916707	NPR1;NPPA
Aldosterone synthesis and secretion	2/98	0.004696881376949473	0.18082993301255473	0	0	19.43634596695821	104.19546214428318	NPR1;NPPA
Serotonergic synapse	2/113	0.0061944038237758655	0.21198626419144073	0	0	16.856300042140752	85.69926681156934	ALOX12B;ALOX15B
Purine metabolism	2/129	0.008000607754545306	0.24641871883999542	0	0	14.765596160944998	71.29180909368269	NPR1;NPR2
cAMP signaling pathway	2/212	0.020571761150169877	0.5760093122047566	0	0	8.984725965858042	34.89520181105111	NPR1;NPPA
African trypanosomiasis	1/37	0.03815814737853566	0.9793924493824152	0	0	25.740025740025743	84.06733545331001	NPPA
Primary immunodeficiency	1/37	0.03815814737853566	0.904054568660691	0	0	25.740025740025743	84.06733545331001	AIRE
Ether lipid metabolism	1/47	0.048230676330360274	1.0	0	0	20.26342451874367	61.433840364283434	GDPD3
Long-term depression	1/60	0.06117485166375804	1.0	0	0	15.873015873015873	44.34950943558193	PRKG1
Gap junction	1/88	0.08848750688474293	1.0	0	0	10.822510822510823	26.243440498670324	PRKG1
Salivary secretion	1/90	0.0904091737202407	1.0	0	0	10.582010582010582	25.432905159010268	PRKG1
Circadian entrainment	1/97	0.0971046684691041	1.0	0	0	9.818360333824252	22.8960807644488	PRKG1
HIF-1 signaling pathway	1/100	0.0999597740324998	1.0	0	0	9.523809523809524	21.93321365330642	NPPA
Platelet activation	1/124	0.12249309035972152	1.0	0	0	7.680491551459293	16.126733147580286	PRKG1
Ubiquitin mediated proteolysis	1/137	0.13447325185759362	1.0	0	0	6.9516857838025725	13.947792635835604	AIRE
Olfactory transduction	1/444	0.3760533139019354	1.0	0	0	2.1450021450021453	2.0978643358031706	PRKG1
