Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
skeletal muscle fiber development (GO:0048741)	2/12	2.170739140750197E-5	0.11077281835248255	0	0	277.77777777777777	2982.7382604327	ACTA1;KLHL40
myotube cell development (GO:0014904)	2/14	2.9910033177640367E-5	0.07631544965274939	0	0	238.0952380952381	2480.313470493795	ACTA1;KLHL40
lamellipodium assembly (GO:0030032)	2/23	8.290811266862965E-5	0.14102669964933903	0	0	144.92753623188406	1361.9967593783845	ABLIM2;ABLIM3
lamellipodium organization (GO:0097581)	2/25	9.824463189820386E-5	0.1253355891441336	0	0	133.33333333333334	1230.4066594501303	ABLIM2;ABLIM3
muscle fiber development (GO:0048747)	2/27	1.148697562279265E-4	0.11723607320622179	0	0	123.4567901234568	1119.9643982673251	ACTA1;KLHL40
skeletal muscle tissue development (GO:0007519)	2/39	2.415360833479079E-4	0.20542643888739567	0	0	85.47008547008548	711.8368959473361	ACTA1;KLHL40
regulation of cardiac muscle hypertrophy in response to stress (GO:1903242)	1/6	0.0035949984464796287	1.0	0	0	277.77777777777777	1563.3921444285672	MLIP
negative regulation of muscle hypertrophy (GO:0014741)	1/7	0.0041930151049605156	1.0	0	0	238.0952380952381	1303.413144851617	MLIP
pentose metabolic process (GO:0019321)	1/7	0.0041930151049605156	1.0	0	0	238.0952380952381	1303.413144851617	PHACTR1
regulation of leukocyte mediated cytotoxicity (GO:0001910)	1/9	0.0053880625223818295	1.0	0	0	185.1851851851852	967.3276697214461	DNASE1
regulation of actin filament length (GO:0030832)	1/10	0.00598509351248777	1.0	0	0	166.66666666666669	853.080552603074	TMSB4Y
sequestering of actin monomers (GO:0042989)	1/10	0.00598509351248777	1.0	0	0	166.66666666666669	853.080552603074	TMSB4Y
skeletal muscle thin filament assembly (GO:0030240)	1/10	0.00598509351248777	1.0	0	0	166.66666666666669	853.080552603074	ACTA1
contractile actin filament bundle assembly (GO:0030038)	1/10	0.00598509351248777	1.0	0	0	166.66666666666669	853.080552603074	PHACTR1
stress fiber assembly (GO:0043149)	1/10	0.00598509351248777	1.0	0	0	166.66666666666669	853.080552603074	PHACTR1
regulation of myeloid leukocyte mediated immunity (GO:0002886)	1/11	0.006581796197874835	1.0	0	0	151.51515151515153	761.1284231055007	DNASE1
negative regulation of cardiac muscle hypertrophy (GO:0010614)	1/11	0.006581796197874835	1.0	0	0	151.51515151515153	761.1284231055007	MLIP
myeloid cell activation involved in immune response (GO:0002275)	1/11	0.006581796197874835	1.0	0	0	151.51515151515153	761.1284231055007	DNASE1
pentose-phosphate shunt (GO:0006098)	1/12	0.007178170714881846	1.0	0	0	138.88888888888889	685.6542643706645	PHACTR1
ribose phosphate metabolic process (GO:0019693)	1/12	0.007178170714881846	1.0	0	0	138.88888888888889	685.6542643706645	PHACTR1
