Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
actin cytoskeleton (GO:0015629)	4/294	2.0634769521558453E-5	0.00920310720661507	0	0	22.67573696145125	244.63793796188224	ACTA1;ABLIM2;ABLIM3;ABRA
cytoskeleton (GO:0005856)	4/520	1.8937883151731605E-4	0.04223147942836148	0	0	12.820512820512823	109.89437371116207	ACTA1;ABLIM2;ABLIM3;ABRA
contractile actin filament bundle (GO:0097517)	2/40	2.5416386531107297E-4	0.03778569464291285	0	0	83.33333333333334	689.7942799948736	ACTA1;ABLIM3
stress fiber (GO:0001725)	2/40	2.5416386531107297E-4	0.028339270982184635	0	0	83.33333333333334	689.7942799948736	ACTA1;ABLIM3
actomyosin (GO:0042641)	2/48	3.6658213136612E-4	0.0326991261178579	0	0	69.44444444444444	549.3949975865639	ACTA1;ABLIM3
striated muscle thin filament (GO:0005865)	1/19	0.011343616002547938	0.84320878952273	0	0	87.71929824561404	392.90352281003027	ACTA1
intercalated disc (GO:0014704)	1/31	0.018447136470887412	1.0	0	0	53.763440860215056	214.66914652532623	NRAP
actin filament (GO:0005884)	1/55	0.032514035214057754	1.0	0	0	30.303030303030305	103.82071000387162	ACTA1
filopodium (GO:0030175)	1/60	0.035421279144613474	1.0	0	0	27.77777777777778	92.79007037928	ACTA1
PML body (GO:0016605)	1/62	0.03658193288429582	1.0	0	0	26.881720430107528	88.9301289649137	MLIP
Cul3-RING ubiquitin ligase complex (GO:0031463)	1/70	0.04121175798431784	1.0	0	0	23.80952380952381	75.92932560412326	KLHL40
actin-based cell projection (GO:0098858)	1/70	0.04121175798431784	1.0	0	0	23.80952380952381	75.92932560412326	ACTA1
cullin-RING ubiquitin ligase complex (GO:0031461)	1/181	0.10338093871044941	1.0	0	0	9.208103130755065	20.89626776299751	KLHL40
polymeric cytoskeletal fiber (GO:0099513)	1/221	0.1248627470990637	1.0	0	0	7.5414781297134255	15.690348176142168	ACTA1
nuclear body (GO:0016604)	1/618	0.3139153064251937	1.0	0	0	2.6968716289104644	3.124681915363212	MLIP
