Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
actin binding (GO:0003779)	6/254	3.4282054911954092E-9	3.945864520365916E-6	0	0	39.37007874015748	767.3712162631767	ABLIM2;ABLIM3;NRAP;TMSB4Y;PHACTR1;ABRA
actin filament binding (GO:0051015)	2/127	0.002532659498839046	1.0	0	0	26.246719160104988	156.91562580155468	ABLIM2;ABLIM3
protein serine/threonine phosphatase inhibitor activity (GO:0004865)	1/10	0.00598509351248777	1.0	0	0	166.66666666666669	853.080552603074	PPP1R1A
racemase and epimerase activity, acting on carbohydrates and derivatives (GO:0016857)	1/12	0.007178170714881846	1.0	0	0	138.88888888888889	685.6542643706645	PHACTR1
muscle alpha-actinin binding (GO:0051371)	1/16	0.00956039001281181	1.0	0	0	104.16666666666667	484.3882037949737	NRAP
protein phosphatase inhibitor activity (GO:0004864)	1/23	0.013716673976595	1.0	0	0	72.46376811594203	310.80747156552343	PPP1R1A
ADP binding (GO:0043531)	1/23	0.013716673976595	1.0	0	0	72.46376811594203	310.80747156552343	ACTA1
actin monomer binding (GO:0003785)	1/25	0.014901244370148439	1.0	0	0	66.66666666666667	280.4207036495217	TMSB4Y
alpha-actinin binding (GO:0051393)	1/29	0.017266474337105393	1.0	0	0	57.4712643678161	233.2752044381912	NRAP
deoxyribonuclease activity (GO:0004536)	1/30	0.017856968008938604	1.0	0	0	55.55555555555556	223.63119346014025	DNASE1
endodeoxyribonuclease activity (GO:0004520)	1/35	0.02080456145623845	1.0	0	0	47.61904761904762	184.40871502557482	DNASE1
frizzled binding (GO:0005109)	1/37	0.02198132687986945	1.0	0	0	45.04504504504505	171.96225064088904	DVL1P1
myosin binding (GO:0017022)	1/46	0.02726074776388067	1.0	0	0	36.231884057971016	130.51838486521615	ACTA1
endonuclease activity (GO:0004519)	1/73	0.042942678013426154	1.0	0	0	22.831050228310502	71.86961465916237	DNASE1
G-protein coupled receptor binding (GO:0001664)	1/133	0.07696516706764417	1.0	0	0	12.531328320802006	32.13536760934976	DVL1P1
ATP binding (GO:0005524)	1/255	0.14275022580189248	1.0	0	0	6.535947712418301	12.723260448677593	ACTA1
adenyl ribonucleotide binding (GO:0032559)	1/279	0.15517421345640053	1.0	0	0	5.973715651135007	11.130267834213367	ACTA1
purine ribonucleoside triphosphate binding (GO:0035639)	1/396	0.2134113866757241	1.0	0	0	4.208754208754209	6.50056221872906	ACTA1
ubiquitin-protein transferase activity (GO:0004842)	1/417	0.2234660366325064	1.0	0	0	3.9968025579536373	5.9891919978082475	KLHL40
metal ion binding (GO:0046872)	1/442	0.2352821857675155	1.0	0	0	3.7707390648567127	5.456145153507561	PHACTR1
